age,gender,region_category,joining_date,api_calls_90d,session_minutes_90d,days_since_active
18,F,Village,17-08-2017,8793,1027.11,2
32,F,City,28-08-2017,8605,862.65,1
44,F,Town,11-11-2016,267,411.37,16
37,M,City,29-10-2016,227,215.77,20
31,F,City,12-09-2017,294,231.94,2
13,M,City,08-01-2016,1318,584.06,0
21,M,Town,19-03-2015,2300,377.52,0
42,M,,12-07-2016,330,103.81,0
44,M,Village,14-12-2016,1833,673.6,3
45,F,Town,30-11-2016,292,520.97,0
25,F,Village,22-05-2016,374,114.15,16
60,M,City,13-01-2016,1409,417.58,0
11,M,Town,31-01-2015,286,100.51,7
34,M,City,07-12-2016,231,443.17,8
40,M,City,19-11-2016,11631,443.98,9
16,F,Town,09-07-2017,381,197.14,8
57,F,City,27-01-2016,275,161.2,0
11,M,Town,02-01-2017,1487,961.23,0
39,M,Town,01-11-2017,252,276.53,5
45,M,City,03-02-2016,8818,392.61,5
33,M,Village,03-12-2015,480,417.89,0
30,M,Village,29-07-2016,218,264.36,2
19,F,Town,22-01-2017,7751,685.22,0
48,M,Town,10-11-2017,295,450.13,0
43,M,City,14-08-2015,355,291.72,1
29,F,Town,09-04-2016,1497,608.84,0
10,M,City,10-11-2015,1973,1071.38,10
20,F,Village,08-12-2016,415,265.08,8
61,F,Village,14-05-2017,2347,649.49,0
10,M,Town,12-01-2016,1919,587.49,2
17,F,City,25-11-2015,369,174.66,28
60,M,Town,02-11-2016,377,296.03,15
11,F,,28-07-2016,2706,390.91,0
60,M,City,02-07-2017,2719,645.67,5
12,M,City,02-03-2015,9486,1201.74,8
52,M,Town,08-10-2015,1303,860.01,6
30,M,City,13-10-2016,241,179.05,1
26,M,,29-11-2017,295,403.48,0
26,F,Town,01-07-2017,411,281.81,0
49,F,Village,09-06-2017,9487,900.59,0
24,M,City,10-10-2016,10135,461.48,2
22,M,Town,02-06-2017,470,295.21,1
33,F,Town,02-02-2017,12913,1246.72,1
17,M,City,20-12-2015,8101,1346.19,4
36,M,Village,28-11-2016,2225,337.46,3
12,M,City,13-02-2017,13692,676.94,2
58,F,Village,09-11-2017,2406,234.45,4
41,M,Town,20-11-2016,6520,384.96,0
30,M,City,11-12-2015,7382,401.57,1
50,M,City,25-10-2015,12550,384.02,0
23,M,Village,22-10-2015,1484,418.22,5
38,M,Town,15-10-2017,2258,496.87,3
20,M,City,27-01-2015,2332,443.97,8
35,F,Village,30-10-2016,3016,385.36,4
43,M,Town,26-04-2017,10965,898.17,0
32,M,City,24-07-2017,1598,923.09,3
40,F,Town,22-08-2015,10505,961.51,0
40,F,Town,21-08-2017,1351,586.12,2
48,F,Town,17-03-2017,256,440.5,5
35,M,Town,11-05-2015,8719,1328.6,4
28,M,Village,17-05-2017,2181,337.18,2
44,F,,23-08-2016,314,394.31,2
40,M,Town,31-01-2017,10843,1636.04,0
18,F,City,17-06-2016,273,256.71,3
10,M,,08-06-2015,239,362.42,11
35,M,Town,27-11-2017,421,800.29,6
43,M,Town,06-04-2015,309,197.66,2
28,M,Village,29-10-2017,344,135.1,2
53,M,Town,27-01-2017,10158,501.51,0
55,F,Town,03-09-2017,9163,364.99,8
59,F,Town,08-06-2017,400,336.44,0
39,M,City,01-12-2016,450,179.48,14
11,M,City,22-06-2016,2491,303.86,1
37,M,Village,17-05-2016,255,163.25,5
53,M,City,06-04-2017,334,223.1,8
57,M,Town,02-01-2016,293,134.24,7
47,M,Town,22-07-2015,2436,489.81,0
50,M,Town,21-01-2015,2086,518.12,1
49,F,City,25-08-2016,2270,246.68,4
54,M,Town,21-06-2017,3123,169.05,6
30,M,Village,17-09-2016,1690,303.9,7
25,F,City,20-08-2015,1717,354.47,6
53,F,City,02-04-2015,8965,997.15,1
54,M,,07-08-2015,322,379.57,18
62,F,City,13-10-2016,270,376.02,10
55,M,City,14-04-2015,8531,1389.29,0
30,F,,13-11-2017,310,132.48,20
30,M,City,03-06-2017,1696,402.19,4
