user_id,age,gender,region_category,joining_date,api_calls_90d,session_minutes_90d,days_since_active,churn_status,session_bucket,api_bucket,churn_risk_score
1,18,F,Village,2017-08-17,8793,1027.11,2,Active,Very High,Very High,0
2,32,F,City,2017-08-28,8605,862.65,1,Active,Very High,Very High,0
3,44,F,Town,2016-11-11,267,411.37,16,Silent Churn,Low,Very Low,3
4,37,M,City,2016-10-29,227,215.77,20,Silent Churn,Very Low,Very Low,3
5,31,F,City,2017-09-12,294,231.94,2,Active,Very Low,Very Low,2
6,13,M,City,2016-01-08,1318,584.06,0,Active,High,Low,1
7,21,M,Town,2015-03-19,2300,377.52,0,Active,Low,High,1
8,42,M,,2016-07-12,330,103.81,0,Active,Very Low,Very Low,2
9,44,M,Village,2016-12-14,1833,673.6,3,Active,High,High,0
10,45,F,Town,2016-11-30,292,520.97,0,Active,High,Very Low,1
11,25,F,Village,2016-05-22,374,114.15,16,Silent Churn,Very Low,Low,3
12,60,M,City,2016-01-13,1409,417.58,0,Active,Low,Low,2
13,11,M,Town,2015-01-31,286,100.51,7,Active,Very Low,Very Low,2
14,34,M,City,2016-12-07,231,443.17,8,Active,High,Very Low,1
15,40,M,City,2016-11-19,11631,443.98,9,Active,High,Very High,0
16,16,F,Town,2017-07-09,381,197.14,8,Active,Very Low,Low,2
17,57,F,City,2016-01-27,275,161.2,0,Active,Very Low,Very Low,2
18,11,M,Town,2017-01-02,1487,961.23,0,Active,Very High,Low,1
19,39,M,Town,2017-11-01,252,276.53,5,Active,Low,Very Low,2
20,45,M,City,2016-02-03,8818,392.61,5,Active,Low,Very High,1
21,33,M,Village,2015-12-03,480,417.89,0,Active,Low,Low,2
22,30,M,Village,2016-07-29,218,264.36,2,Active,Very Low,Very Low,2
23,19,F,Town,2017-01-22,7751,685.22,0,Active,High,Very High,0
24,48,M,Town,2017-11-10,295,450.13,0,Active,High,Very Low,1
25,43,M,City,2015-08-14,355,291.72,1,Active,Low,Low,2
26,29,F,Town,2016-04-09,1497,608.84,0,Active,High,Low,1
27,10,M,City,2015-11-10,1973,1071.38,10,Active,Very High,High,0
28,20,F,Village,2016-12-08,415,265.08,8,Active,Very Low,Low,2
29,61,F,Village,2017-05-14,2347,649.49,0,Active,High,High,0
30,10,M,Town,2016-01-12,1919,587.49,2,Active,High,High,0
31,17,F,City,2015-11-25,369,174.66,28,Silent Churn,Very Low,Low,3
32,60,M,Town,2016-11-02,377,296.03,15,Silent Churn,Low,Low,3
33,11,F,,2016-07-28,2706,390.91,0,Active,Low,High,1
34,60,M,City,2017-07-02,2719,645.67,5,Active,High,High,0
35,12,M,City,2015-03-02,9486,1201.74,8,Active,Very High,Very High,0
36,52,M,Town,2015-10-08,1303,860.01,6,Active,Very High,Low,1
37,30,M,City,2016-10-13,241,179.05,1,Active,Very Low,Very Low,2
38,26,M,,2017-11-29,295,403.48,0,Active,Low,Very Low,2
39,26,F,Town,2017-07-01,411,281.81,0,Active,Low,Low,2
40,49,F,Village,2017-06-09,9487,900.59,0,Active,Very High,Very High,0
41,24,M,City,2016-10-10,10135,461.48,2,Active,High,Very High,0
42,22,M,Town,2017-06-02,470,295.21,1,Active,Low,Low,2
43,33,F,Town,2017-02-02,12913,1246.72,1,Active,Very High,Very High,0
44,17,M,City,2015-12-20,8101,1346.19,4,Active,Very High,Very High,0
45,36,M,Village,2016-11-28,2225,337.46,3,Active,Low,High,1
46,12,M,City,2017-02-13,13692,676.94,2,Active,High,Very High,0
47,58,F,Village,2017-11-09,2406,234.45,4,Active,Very Low,High,1
48,41,M,Town,2016-11-20,6520,384.96,0,Active,Low,Very High,1
49,30,M,City,2015-12-11,7382,401.57,1,Active,Low,Very High,1
50,50,M,City,2015-10-25,12550,384.02,0,Active,Low,Very High,1
51,23,M,Village,2015-10-22,1484,418.22,5,Active,Low,Low,2
52,38,M,Town,2017-10-15,2258,496.87,3,Active,High,High,0
53,20,M,City,2015-01-27,2332,443.97,8,Active,High,High,0
54,35,F,Village,2016-10-30,3016,385.36,4,Active,Low,Very High,1
55,43,M,Town,2017-04-26,10965,898.17,0,Active,Very High,Very High,0
56,32,M,City,2017-07-24,1598,923.09,3,Active,Very High,Low,1
57,40,F,Town,2015-08-22,10505,961.51,0,Active,Very High,Very High,0
58,40,F,Town,2017-08-21,1351,586.12,2,Active,High,Low,1
59,48,F,Town,2017-03-17,256,440.5,5,Active,High,Very Low,1
60,35,M,Town,2015-05-11,8719,1328.6,4,Active,Very High,Very High,0
61,28,M,Village,2017-05-17,2181,337.18,2,Active,Low,High,1
62,44,F,,2016-08-23,314,394.31,2,Active,Low,Very Low,2
63,40,M,Town,2017-01-31,10843,1636.04,0,Active,Very High,Very High,0
64,18,F,City,2016-06-17,273,256.71,3,Active,Very Low,Very Low,2
65,10,M,,2015-06-08,239,362.42,11,Active,Low,Very Low,2
66,35,M,Town,2017-11-27,421,800.29,6,Active,Very High,Low,1
67,43,M,Town,2015-04-06,309,197.66,2,Active,Very Low,Very Low,2
